molecule_id,reason
fragment_001,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 13"
fragment_006,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 15"
fragment_011,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_021,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 8 11 12 13 14"
fragment_024,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_025,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 11 12 13 14 15 16"
fragment_029,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 9 10 11 12 13"
fragment_034,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 8 9 10 11 12"
fragment_036,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 11"
fragment_038,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 9"
fragment_041,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 8 9 13 14"
fragment_043,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 9 10 11 12"
fragment_045,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_049,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 9"
fragment_057,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 5 10 11 12 13 14 15 16"
fragment_061,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_062,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 12 13 14 15 16"
fragment_063,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12 13 14 15 16"
fragment_064,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 10 11 12 13 14 15 16 17"
fragment_067,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 10 11 13 14"
fragment_071,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8 9 10 11 12"
fragment_074,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 10 11 12 13"
fragment_075,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_076,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 7 14 15 16 17"
fragment_079,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_082,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 8"
fragment_087,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 8 12 13"
fragment_088,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 10 11 12 13"
fragment_091,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 14"
fragment_094,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 8 9 10 11 12"
fragment_096,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 12 13"
fragment_099,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_101,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 12"
fragment_102,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 9"
fragment_104,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 11 12"
fragment_107,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 7 8 11 12"
fragment_108,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 9 10 14 15"
fragment_111,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 9 10 11 12 13"
fragment_113,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 11 12"
fragment_116,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 10"
fragment_117,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12 13 14 15 16"
fragment_118,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 9 10 11 12 13 14"
fragment_119,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 9 10 11"
fragment_120,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 8 9 12 13 14 15 16 17"
fragment_123,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_126,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 8 11 12 13 14"
fragment_133,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10 11 12 13 14"
fragment_137,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 15"
fragment_144,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 9 10"
fragment_146,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_150,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 13"
fragment_156,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 8"
fragment_157,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 9 12 13 14 15"
fragment_158,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 8 9 13 14"
fragment_160,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 13"
fragment_166,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_167,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 10"
fragment_168,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 9"
fragment_178,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 11 12 13 14 15 16"
fragment_179,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 9 10 11 14 15 16 17"
fragment_181,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 8 9 10 11 12"
fragment_186,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 11"
fragment_188,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_190,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 10 11 12 13 14 15"
fragment_193,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 9 12 13 14 15"
fragment_194,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_196,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_198,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 9"
fragment_200,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_201,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_204,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_206,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 9 10 11 12 13"
fragment_207,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_208,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_211,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 8 11 12 13 14"
fragment_212,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_213,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_214,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 10 11 12 13"
fragment_217,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_218,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 15"
fragment_219,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_220,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_221,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 10 11"
fragment_222,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11"
fragment_224,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_227,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_229,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 14"
fragment_230,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_232,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_234,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_235,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_242,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_245,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 10"
fragment_246,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11 12 13"
fragment_248,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 10 11"
fragment_249,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_251,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 11"
fragment_253,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_254,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 10 11 12 13 14"
fragment_256,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_258,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_259,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 10 11 12 13 14 15 16 17"
fragment_261,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 16"
fragment_262,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_263,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 18"
fragment_265,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_266,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11"
fragment_269,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8 9 10 11 12"
fragment_273,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_274,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 14"
fragment_275,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_277,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_280,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 11 12 13 14"
fragment_281,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8 9 10 11 12"
fragment_283,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_286,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 14"
fragment_287,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 9"
